accuracy,dice_score,jaccard_index,sensitivity,specificity,precision,f1_score,composite_score,epoch
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,1
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,2
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,3
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,4
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,5
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,6
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,7
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,8
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,9
0.9983839658227297,0.03633910389310545,0.019162397109029058,0.019298245752257064,0.9999928790679586,0.4439379944124855,0.03633910389310545,0.027818674822681255,10
0.9983644768743232,0.0,0.0,0.0,0.999999999999993,0.0,0.0,0.0,11
0.9984405064346766,0.179197612958092,0.10191047535287318,0.1114065026101286,0.9998866591048728,0.5213734903355933,0.179197612958092,0.14530205778411032,12
0.9984228304117033,0.24212332172727422,0.1438658890441015,0.17007787178168465,0.9997720235347128,0.512705484177701,0.24212332172727422,0.20610059675447945,13
0.9984872648031404,0.204137687816808,0.12089447997693155,0.13210358007135778,0.9998962595170622,0.6386810096680333,0.204137687816808,0.16812063394408286,14
0.9984735545545521,0.23689983920797705,0.14046242474564818,0.15786140975064125,0.9998397516656587,0.5331021581595421,0.23689983920797705,0.19738062447930915,15
0.9984261163390509,0.2636054385915995,0.1595678429683527,0.19383585760745375,0.9997342525454399,0.4996049316933138,0.2636054385915995,0.22872064809952664,16
0.9984446988247409,0.28815199418958204,0.17554491413238754,0.2130008488756775,0.9997319868619116,0.5716649708763142,0.28815199418958204,0.2505764215326298,17
0.9985066026744276,0.2518791080989859,0.15335869566889634,0.175173974149721,0.9998414416677786,0.5954434985443473,0.2518791080989859,0.21352654112435346,18
0.9984463229037748,0.17606580547603137,0.10150622119938633,0.11043535756656135,0.999894195936513,0.5128396348563027,0.17606580547603137,0.14325058152129636,19
0.9984568983021349,0.340297933714155,0.21385622787208927,0.2692497927360862,0.9996363307022491,0.5708171027318766,0.340297933714155,0.3047738632251206,20
0.9985407083341391,0.30149976334308387,0.1856743862448676,0.21305593880773815,0.9998097155958974,0.583053758521877,0.30149976334308387,0.257277851075411,21
0.9983705577283802,0.4750250822227258,0.317579179928069,0.4435258244892577,0.9993242822865459,0.5196805670470972,0.4750250822227258,0.45927545335599174,22
0.9985326257082495,0.33818468875137486,0.21226259126059838,0.25272409378850785,0.9997435496474996,0.6457026377616106,0.33818468875137486,0.29545439126994144,23
0.9985246563901996,0.3914116845889615,0.252193313417262,0.3169133062375797,0.999620270658975,0.5226642597906592,0.3914116845889615,0.35416249541327055,24
0.9985082267534615,0.24194466494051417,0.14458024824288632,0.16068410940238234,0.9998682949431473,0.6011497620411185,0.24194466494051417,0.20131438717144823,25
0.9985108328337716,0.3473814274611622,0.21920824520358584,0.27060177124114365,0.9996822145795786,0.5304520839082253,0.3473814274611622,0.308991599351153,26
0.9985843318523747,0.4416446997400728,0.29022237840186504,0.37020355777622527,0.9996028405352775,0.6378322672926227,0.4416446997400728,0.405924128758149,27
0.9985633321327738,0.39780165741511714,0.2594243880757607,0.3235574088673765,0.9996410593911026,0.5455489131332343,0.39780165741511714,0.36067953314124684,28
0.998569110832592,0.33520215825818045,0.20753371818682112,0.2353088069949033,0.9998098324226052,0.6817256363455563,0.33520215825818045,0.2852554826265419,29
0.9985807437707882,0.31160032615611777,0.192813799395446,0.21530085756650497,0.9998412677260841,0.6181474348483426,0.31160032615611777,0.2634505918613114,30
0.9984786911766128,0.28500729485509935,0.17279490992738195,0.2027310132918263,0.9997703414537618,0.5187819516187814,0.28500729485509935,0.24386915407346282,31
0.998563029978535,0.32509455051222697,0.20112397268545196,0.22931258882608654,0.9998007370431168,0.608430106060831,0.32509455051222697,0.27720356966915677,32
0.9985194819988591,0.39265093142348134,0.2535478700053159,0.32112777790079766,0.9996105460650544,0.6058944073574832,0.39265093142348134,0.3568893546621395,33
0.9985867490862855,0.4331441783531967,0.2834827651373957,0.3420992731722386,0.999683173106405,0.6304253888335766,0.4331441783531967,0.38762172576271764,34
0.9985690730633122,0.2961072877878638,0.17993743003375767,0.19795411353181647,0.9998643689159651,0.6515900004815417,0.2961072877878638,0.24703070065984017,35
0.9985820279263034,0.39681080598463525,0.25864171802013325,0.31356226986099583,0.9996843671142778,0.5584297843051322,0.39681080598463525,0.35518653792281557,36
0.9985980043316832,0.3357302135438708,0.2124880959086835,0.24568600863083143,0.9998060830658151,0.610217297951184,0.3357302135438708,0.29070811108735106,37
0.9985973622539256,0.31116363842587974,0.19221834956237546,0.2114965533871531,0.9998584946654397,0.64892078501919,0.31116363842587974,0.2613300959065164,38
0.9985587242806312,0.4015670811307333,0.2605188483265848,0.32867548931375795,0.9996353708111795,0.532628168458117,0.4015670811307333,0.3651212852222457,39
0.9981693230052986,0.3204930470525974,0.1976776620393716,0.2917881592298777,0.9993305936220708,0.36698341590639605,0.3204930470525974,0.30614060314123753,40
0.9985902993985922,0.3788684095191717,0.24223768480849975,0.2847433380868367,0.9997433213197162,0.6019785861477582,0.3788684095191717,0.33180587380300414,41
